ESTADO;CÓDIGO;CONCATENADO2;DESC. COMPONENTE;CLASSE;GRUPO;FORNECEDOR;CUSTO UND (ATUAL);CUSTO TOTAL (ATUAL);MÊS;ANO;CUSTO TOTAL (NA COMPRA);MÊS/ANO
PA;11080283;PA11080283;RÓTULO MICOS COLA 2,5L REDUZIDO;ROTULO;BOPP-PA;GERAL;0,03395;16975;OUT;2024;16975;01/10/2024
PA;11080247;PA11080247;ROTULO MICOS GUARANA 2L;ROTULO;BOPP-PA;GERAL;0,04163;12489;OUT;2024;12489;01/10/2024
PA;11080279;PA11080279;RÓTULO MICOS LARANJA 200ML 1%;ROTULO;BOPP-PA;GERAL;0,0059;1770;OUT;2024;1770;01/10/2024
MS;2701100002;MS2701100002;BENZOATO DE SODIO;ACID.E CONSERV.;REF/ENER/NOCH/TON;BBCA;12,1;24200;SET;2024;24200;01/09/2024
PR;2701100002;PR2701100002;BENZOATO DE SODIO;ACID.E CONSERV.;REF/ENER/NOCH/TON;GERAL;12,1;48400;SET;2024;48400;01/09/2024
MS;2701090006;MS2701090006;CITRATO DE SODIO;ACID.E CONSERV.;ENERG/DELIRIO;BBCA;8,28;20700;SET;2024;20700;01/09/2024
PR;2801090005;PR2801090005;CITRATO DE SODIO - IND;ACID.E CONSERV.;ENERG/DELIRIO;BBCA;8,28;3312;SET;2024;3312;01/09/2024
MS;2701100001;MS2701100001;SORBATO DE POTASSIO 25KG;ACID.E CONSERV.;REF/ENER/ROM/DEL;DISPROQUIMA;15,72;11004;SET;2024;11004;01/09/2024
PR;2701100001;PR2701100001;SORBATO DE POTASSIO 25KG;ACID.E CONSERV.;REF/ENER/ROM/DEL;GERAL;15,72;11004;SET;2024;11004;01/09/2024
PR;2701050037;PR2701050037;AROMA IDENTICO AO NATURAL FRAMBOESA 77587 SAPORITI;AROMA;REFRIGERANTE;GERAL;62;7440;SET;2024;7440;01/09/2024
PR;2701130007;PR2701130007;AROMA EXTRATO GUARANA REFRIKO 28;AROMA;REFRIGERANTE;GERAL;32,8;65600;SET;2024;65600;01/09/2024
MS;2701050008;MS2701050008;AROMA FRUTAS TROPICAIS;AROMA;ENERGÉTICO;MONARCH;149,57;104699;SET;2024;104699;01/09/2024
PR;2801050019;PR2801050019;AROMA IDENTICO AO NATURAL MARACUJA IND;AROMA;NOCH DEMAIS;DUAS RODAS;54,21;3252,6;SET;2024;3252,6;01/09/2024
MS;2701050017;MS2701050017;AROMA IDENTICO AO NATURAL MELANCIA;AROMA;ENERGÉTICO;DUAS RODAS;37,17;16726,5;SET;2024;16726,5;01/09/2024
MS;2701050021;MS2701050021;AROMA IDENTICO AO NATURAL MORANGO;AROMA;ENERGÉTICO;DUAS RODAS;75,88;22764;SET;2024;22764;01/09/2024
PR;2801050025;PR2801050025;AROMA IDENTICO AO NATURAL MORANGO IND;AROMA;ENERGÉTICO;DUAS RODAS;75,88;7588;SET;2024;7588;01/09/2024
MS;2701050013;MS2701050013;AROMA MAÇA VERDE COD;AROMA;ENERGÉTICO;DUAS RODAS;46,45;16257,5;SET;2024;16257,5;01/09/2024
MS;2701050019;MS2701050019;AROMA MELAO ;AROMA;ENERGÉTICO;DUAS RODAS;58,97;47176;SET;2024;47176;01/09/2024
PR;2701050001;PR2701050001;AROMA NATURAL MOUTHFEEL FASV259 ADM;AROMA;REFRIGERANTE;ADM;165,4;49620;SET;2024;49620;01/09/2024
MS;2701050028;MS2701050028;AROMA NATURAL PARA VODKA ;AROMA;VODKA;DUAS RODAS;25,88;5176;SET;2024;5176;01/09/2024
PR;2701050027;PR2701050027;AROMA UVA REFRIKO 84;AROMA;REFRIGERANTE;GERAL;28;16800;SET;2024;16800;01/09/2024
MS;2701050022;MS2701050022;CONCENTRADO DE GUARANA IAB 7205;AROMA;REFRIGERANTE;GERAL;25,87;77610;SET;2024;77610;01/09/2024
PR;2701050022;PR2701050022;CONCENTRADO DE GUARANA IAB 7205;AROMA;REFRIGERANTE;INTERAMERICA;27,17;190190;SET;2024;190190;01/09/2024
MS;2701090003;MS2701090003;ACIDO LACTICO - IBC;CERVEJARIA;OUTROS;KATEC;10,41;10410;SET;2024;10410;01/09/2024
MS;2701250001;MS2701250001;CLORETO DE CALCIO - IBC;CERVEJARIA;OUTROS;BELA VISTA;4,07;1628;SET;2024;1628;01/09/2024
MS;2701210004;MS2701210004;ENZIMA ULTRA FLOW;CERVEJARIA;OUTROS;PROZYN;76,36;3818;SET;2024;3818;01/09/2024
MS;2701200002;MS2701200002;LUPULO LSKE;CERVEJARIA;LUPULO;LNF LATINO;1017,47;10225,5735;SET;2024;10225,5735;01/09/2024
MS;2701210002;MS2701210002;SILICA HP 9000;CERVEJARIA;OUTROS;GRACE;36,01;54015;SET;2024;54015;01/09/2024
MS;2701120001;MS2701120001;PREMIX ENERG EMULVIT 8942;CONCENT./KITs;C.ENERGETICO;QUANTIQ;18,05;117325;SET;2024;117325;01/09/2024
PR;2801120002;PR2801120002;PREMIX ENERG EMULVIT 8942 IND;CONCENT./KITs;C.ENERGETICO;QUANTIQ;18,05;18050;SET;2024;18050;01/09/2024
PR;2701050023;PR2701050023;PREP ACIDO COLA ;CONCENT./KITs;KIT COLA;MONARCH;25;7500;SET;2024;7500;01/09/2024
MS;2701050023;MS2701050023;PREP ACIDO COLA ;CONCENT./KITs;KIT COLA;MONARCH;25;5000;SET;2024;5000;01/09/2024
MS;2701060007;MS2701060007;CORANTE CARAMELO CLASE IV DPC;CORANTE;REFRIGERANTE;SAPORITI;7,5;1500;SET;2024;1500;01/09/2024
PR;2701060007;PR2701060007;CORANTE CARAMELO CLASE IV DPC;CORANTE;REFRIGERANTE;GERAL;7,5;3750;SET;2024;3750;01/09/2024
MS;2701060001;MS2701060001;CORANTE PONCEAU ;CORANTE;ENERGÉTICO;SAPORITI;67;670;SET;2024;670;01/09/2024
PR;2701060001;PR2701060001;CORANTE PONCEAU ;CORANTE;ENERGÉTICO;GERAL;67;335;SET;2024;335;01/09/2024
MS;2701060003;MS2701060003;CORANTE TARTRAZINA;CORANTE;ENERGÉTICO;SAPORITI;49;490;SET;2024;490;01/09/2024
MS;2701060002;MS2701060002;CORANTE VERMELHO 3167;CORANTE;REFRIGERANTE;SAPORITI;18,9;1890;SET;2024;1890;01/09/2024
PR;2701060002;PR2701060002;CORANTE VERMELHO 3167;CORANTE;REFRIGERANTE;GERAL;18,9;6615;SET;2024;6615;01/09/2024
MS;2701070006;MS2701070006;ACESSULFAME DE POTASSIO;EDULCORANTE;XAROPARIA;QUANTIQ;28,53;3566,25;SET;2024;3566,25;01/09/2024
PR;2701070006;PR2701070006;ACESSULFAME DE POTASSIO;EDULCORANTE;XAROPARIA;QUANTIQ ;28,53;5706;SET;2024;5706;01/09/2024
MS;2701070004;MS2701070004;CICLAMATO DE SÓDIO ;EDULCORANTE;XAROPARIA;QUANTIQ;14,18;2127;SET;2024;2127;01/09/2024
PR;2701070004;PR2701070004;CICLAMATO DE SÓDIO ;EDULCORANTE;XAROPARIA;QUANTIQ;14,18;7799;SET;2024;7799;01/09/2024
PR;2701070003;PR2701070003;NEOTAME;EDULCORANTE;XAROPARIA;GERAL;194,3;3886;SET;2024;3886;01/09/2024
MS;2701070002;MS2701070002;SACARINA SÓDICA;EDULCORANTE;XAROPARIA;QUANTIQ;29,65;2965;SET;2024;2965;01/09/2024
PR;2701070002;PR2701070002;SACARINA SÓDICA;EDULCORANTE;XAROPARIA;QUANTIQ ;29,65;5930;SET;2024;5930;01/09/2024
MS;2701070001;MS2701070001;SUCRALOSE;EDULCORANTE;XAROPARIA;LR LOGISTICS;84,3;16860;SET;2024;16860;01/09/2024
PR;2701070001;PR2701070001;SUCRALOSE;EDULCORANTE;XAROPARIA;GERAL;88;26400;SET;2024;26400;01/09/2024
MS;2701050020;MS2701050020;EMULSÃO COLA E-0388 ADM (NOVO);EMULSAO;XAROPARIA;MONARCH;384,51;134578,5;SET;2024;134578,5;01/09/2024
PR;2701050020;PR2701050020;EMULSÃO COLA E-0388 ADM (NOVO) (usar no 500 ml);EMULSAO;XAROPARIA;GERAL;384,51;105740,25;SET;2024;105740,25;01/09/2024
MS;2701050018;MS2701050018;EMULSAO LARANJA REFRIKO 98;EMULSAO;XAROPARIA;SAPORITI;32,8;13120;SET;2024;13120;01/09/2024
PR;2701050018;PR2701050018;EMULSAO LARANJA REFRIKO 98;EMULSAO;XAROPARIA;GERAL;32,8;36080;SET;2024;36080;01/09/2024
MS;2701040009;MS2701040009;FILME STRETCH POLIETILENO 500X0023;FILME;STRETCH;PACKSEVEN;22,85;114250;SET;2024;114250;01/09/2024
PR;2701040009;PR2701040009;FILME STRETCH POLIETILENO 500X0023;FILME;STRETCH;GERAL;20;100000;SET;2024;100000;01/09/2024
MS;2701040001;MS2701040001;FILME TERMO ENCOLHIVEL 420 X 0,05;FILME;JUJ/TERN;PACKSEVEN;21;63000;SET;2024;63000;01/09/2024
PR;2701040004;PR2701040004;FILME TERMO ENCOLHIVEL 600 MM X 0,04 (PRÓPRIO);FILME;REFRI;GERAL;14,1;49350;SET;2024;49350;01/09/2024
PR;2701040005;PR2701040005;FILME TERMO ENCOLHIVEL 660 MM X 0,04;FILME;ENERGÉTICO;GERAL;23,5;105750;SET;2024;105750;01/09/2024
PR;2701040006;PR2701040006;FILME TERMO ENCOLHIVEL 860/5 MM;FILME;JUJ/TERN;GERAL;23,575;94300;SET;2024;94300;01/09/2024
PR;2701040007;PR2701040007;FILME TERMO ENCOLHIVEL 860/0,06 MM;FILME;REFR/ENERG.;PACKSEVEN;23,575;117875;SET;2024;117875;01/09/2024
MS;2701040015;MS2701040015;SHRINK LISO - 380X0,06 ;FILME;VIDRO;PACKSEVEN;21;42000;SET;2024;42000;01/09/2024
MS;2701040002;MS2701040002;FILME TERMO ENCOLHIVEL 420 X 0,06;FILME;REFR/ENERG.;PACKSEVEN;23,5;94000;SET;2024;94000;01/09/2024
MS;2701040011;MS2701040011;SHRINK MOEMA 350ML - 390X60X3;FILME;MOEMA;PACKSEVEN;31,51;220570;SET;2024;220570;01/09/2024
MS;2701260003;MS2701260003;LACRE BARRIL MOEMA;LACRE;CHOPP;INDALFA;0,365;730;SET;2024;730;01/09/2024
PR;2801010088;PR2801010088;ROTULO AGUA TONICA MALDIVES 250 ML - IND;ROTULO;SLEEVE;ALL4LABELL;0,05071;10142;SET;2024;10142;01/09/2024
PR;2801010089;PR2801010089;ROTULO BOMBADÃO 2L - IND;ROTULO;SLEEVE;ALL4LABELL;0,212856;21285,6;SET;2024;21285,6;01/09/2024
MS;2701010189;MS2701010189;ROTULO FURIOSO 1L;ROTULO;SLEEVE;ALL4LABELL;0,2;20000;SET;2024;20000;01/09/2024
PR;2801010099;PR2801010099;ROTULO FURIOSO 250ML - IND;ROTULO;SLEEVE;GERAL;0,050377;100754;SET;2024;100754;01/09/2024
MS;2701010191;MS2701010191;ROTULO FURIOSO 2L;ROTULO;SLEEVE;ALL4LABELL;0,2062;20620;SET;2024;20620;01/09/2024
PR;2801010100;PR2801010100;ROTULO FURIOSO 2L - IND;ROTULO;SLEEVE;GERAL;0,2062;82480;SET;2024;82480;01/09/2024
MS;2701010187;MS2701010187;ROTULO FURIOSO MELANCIA E MORANGO 2L;ROTULO;SLEEVE;ALL4LABELL;0,2062;41240;SET;2024;41240;01/09/2024
MS;2701010184;MS2701010184;ROTULO FURIOSO MELAO 2L;ROTULO;SLEEVE;ALL4LABELL;0,2062;41240;SET;2024;41240;01/09/2024
MS;2701010193;MS2701010193;ROTULO FURIOSO TROPICAL 2L;ROTULO;SLEEVE;ALL4LABELL;0,2062;41240;SET;2024;41240;01/09/2024
PR;2701130009;PR2701130009;SUCO CONCENTRADO DE MACA;SUCO;XAROPARIA;GERAL;12;24000;SET;2024;24000;01/09/2024
PR;2701130001;PR2701130001;SUCO CONCENTRADO LARANJA;SUCO;XAROPARIA;GERAL;12;4800;AGO;2024;4800;01/08/2024
MS;2701130002;MS2701130002;SUCO CONCENTRADO LIMÃO;SUCO;XAROPARIA;INTERSUCOS;16,5;1237,5;SET;2024;1237,5;01/09/2024
PR;2701130002;PR2701130002;SUCO CONCENTRADO LIMÃO;SUCO;XAROPARIA;GERAL;16,5;4125;SET;2024;4125;01/09/2024
PR;2701020051;PR2701020051;PREFORMA PET 200 ML CRISTAL 12 g (PROP.);PREFORMA;REFRIKO 200ML;ENGEPACK;0,197948;310870,2079;SET;2024;310870,2079;01/09/2024
PR;2701020097;PR2701020097;PREFORMA PET 200 ML VERDE 12 g (PRÓPRIO);PREFORMA;REFRIKO 200ML;ENGEPACK;0,197948;0;SET;2024;0;01/09/2024
